"sample_id","Homo_zygote_gain","Hemi_zygote_gain","NoChange","Hemi_zygote_loss","Homo_zygote_loss","type_status","HoGain","HeGain","HeLoss","HoLoss","CNV_Changed","Gain","Loss","CNV_D","CNV_Status","Gain_n","Loss_n","Loss_ov_Gain","Loss_eq_Gain","Condition","QuantileThreshold","Cluster"
"TCGA.FC.7961.01",4,3925,13669,5954,1224,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,2,0,1,2,FALSE,FALSE,0.448296738779464,"(0.184,0.791]",4
"TCGA.FC.A4JI.01",776,7755,10061,6002,182,FALSE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,2,0,2,2,FALSE,FALSE,0.593921536971262,"(0.184,0.791]",4
"TCGA.FC.A5OB.01",4,0,24065,518,189,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0286971262512109,"[0,0.031]",1
"TCGA.FC.A66V.01",0,0,24773,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.000121084920891185,"[0,0.031]",1
"TCGA.FC.A6HD.01",17,0,24485,0,274,FALSE,TRUE,FALSE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.0117452373264449,"[0,0.031]",1
"TCGA.FC.A8O0.01",1,0,24773,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.000121084920891185,"[0,0.031]",1
"TCGA.G9.6329.01",3,235,22551,1987,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.0898046496609622,"(0.0836,0.184]",3
"TCGA.G9.6332.01",198,0,23176,1382,20,TRUE,TRUE,FALSE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.0645786244752987,"(0.031,0.0836]",2
"TCGA.G9.6333.01",25,0,23938,811,2,TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.0338230545689377,"(0.031,0.0836]",2
"TCGA.G9.6336.01",0,0,24745,0,31,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.00125121084920891,"[0,0.031]",1
"TCGA.G9.6338.01",2,1706,21679,0,1389,TRUE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.125,"(0.0836,0.184]",3
"TCGA.G9.6339.01",9,0,23786,978,3,TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.0399580238940911,"(0.031,0.0836]",2
"TCGA.G9.6342.01",0,0,23359,1414,3,TRUE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0571924443009364,"(0.031,0.0836]",2
"TCGA.G9.6343.01",0,0,24059,716,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.0289392960929932,"[0,0.031]",1
"TCGA.G9.6347.01",1,0,24716,0,59,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0024216984178237,"[0,0.031]",1
"TCGA.G9.6348.01",0,0,23129,1645,2,TRUE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0664756215692606,"(0.031,0.0836]",2
"TCGA.G9.6351.01",0,0,23937,0,839,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0338634162092347,"(0.031,0.0836]",2
"TCGA.G9.6353.01",1,0,24775,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,FALSE,FALSE,4.03616402970617e-05,"[0,0.031]",1
"TCGA.G9.6354.01",1,0,23399,1328,48,TRUE,FALSE,FALSE,TRUE,TRUE,2,FALSE,TRUE,1,2,0,2,TRUE,FALSE,0.0555779786890539,"(0.031,0.0836]",2
"TCGA.G9.6356.01",0,673,23568,493,42,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.0487568614788505,"(0.031,0.0836]",2
"TCGA.G9.6361.01",183,0,20864,3488,241,TRUE,TRUE,FALSE,TRUE,TRUE,3,TRUE,TRUE,2,0,1,2,TRUE,FALSE,0.157894736842105,"(0.0836,0.184]",3
"TCGA.G9.6362.01",0,1199,22082,1490,5,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.108734258960284,"(0.0836,0.184]",3
"TCGA.G9.6363.01",0,616,22707,1326,127,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,2,0,1,2,FALSE,FALSE,0.0835082337746206,"(0.031,0.0836]",2
"TCGA.G9.6364.01",0,0,23868,907,1,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.036648369389732,"(0.031,0.0836]",2
"TCGA.G9.6365.01",1,0,24526,0,249,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0100904100742654,"[0,0.031]",1
"TCGA.G9.6366.01",202,1340,22496,0,738,TRUE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,2,0,2,1,FALSE,FALSE,0.0920245398773006,"(0.0836,0.184]",3
"TCGA.G9.6367.01",0,0,24776,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,FALSE,TRUE,0,"[0,0.031]",1
"TCGA.G9.6369.01",248,0,22208,2320,0,TRUE,TRUE,FALSE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.103648692282854,"(0.0836,0.184]",3
"TCGA.G9.6370.01",0,0,24775,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,4.03616402970617e-05,"[0,0.031]",1
"TCGA.G9.6371.01",1,1165,23299,302,9,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.0596141427187601,"(0.031,0.0836]",2
"TCGA.G9.6373.01",620,1297,21197,1658,4,TRUE,TRUE,TRUE,TRUE,FALSE,3,TRUE,TRUE,2,0,2,1,FALSE,FALSE,0.144454310623184,"(0.0836,0.184]",3
"TCGA.G9.6377.01",0,1713,19790,2219,1054,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,2,0,1,2,TRUE,FALSE,0.20124313852115,"(0.184,0.791]",4
"TCGA.G9.6378.01",5,0,24066,704,1,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.0286567646109138,"[0,0.031]",1
